Tag Key,dev,int,Possible Values
aws-cdk:subnet-type,yes,yes,"['Isolated', 'Private']"
Type,yes,yes,"['routable', 'non-routable']"
kubernetes.io/cluster/addf-ad-labeling-mw-eks-group-eks-cluster,yes,no,['shared']
kubernetes.io/role/internal-elb,yes,yes,['1']
aws-cdk:subnet-name,yes,yes,"['orionadp-network-vpc-onpremrouted1-routable-subnets', 'orionadp-network-vpc-awsrouted1-routable-subnets']"
kubernetes.io/cluster/addf-ad-labeling-mw-eks-cluster-eks-cluster,yes,yes,"['shared', 'owned']"
aws-cdk:auto-delete-images,yes,no,['true']
ingress.k8s.aws/stack,yes,no,"['ad-labeling-dev/label-service-alb-ingress', 'ad-labeling-dev/auth-service-alb-ingress', 'ad-labeling-dev/frontend-alb-ingress', 'dummy-auth-ns/dummy-auth-1-alb-ingress']"
ingress.k8s.aws/resource,yes,no,"['443', '80:1', 'ad-labeling-dev/frontend-alb-ingress-frontend-service:80', 'LoadBalancer', '443:1', '80', 'ManagedLBSecurityGroup', 'dummy-auth-ns/dummy-auth-1-alb-ingress-dummy-auth-1-service:8080']"
elbv2.k8s.aws/cluster,yes,no,['addf-ad-labeling-dev-eks-cluster-eks-cluster']
job_type,yes,no,['common']
resource_owner,yes,no,['common']
job_name,yes,no,['common']
job_run_id,yes,no,['common']
codeseeder-seedkit-name,yes,yes,['codeseeder-addf']
codeseeder-seedkit,yes,yes,"['addf-ad-labeling-dev-eks-cluster-eks-iam-policy', 'addf-realm-cicd-codebuild-sg-codebuild-sg-dev-iam-policy', 'addf-ad-labeling-dev-oao-event-receiver-iam-policy', 'addf-ad-labeling-ff-s3-ad-labeling-bucket-20231215-iam-policy', 'addf-ad-labeling-dev-codepipline-with-codebuild-codepipeline-with-codebuild-iam-policy', 'addf-ad-labeling-mw-document-db-documentdb-cluster-iam-policy', 'ad-labeling-dev', 'codeseeder-addf', 'addf-ad-labeling-dev-oao-event-publisher-iam-policy', 'addf-realm-cicd-codebuild-sg-codebuild-sg-int-iam-policy', 'addf-ad-labeling-dev-efs-efs-storage-iam-policy', 'addf-ad-labeling-dev-helm-chart-repo-helm-chart-repo-iam-policy', 'addf-ad-labeling-dev-parameters-store-ssm-parameters-iam-policy', 'realm-cicd', 'addf-ad-labeling-dev-document-db-documentdb-cluster-iam-policy']"
createdBy,yes,yes,['ADF']
aws:autoscaling:groupName,yes,no,['eks-clusterNodegroupclusterdefa-AUsAM4Tk2EFl-90c6ff96-fa43-2007-e251-ba28c1de248f']
aws:ec2:fleet-id,yes,no,"['fleet-8c95bc0f-3284-4634-043a-0f22c5aadf11', 'fleet-2c1d3e87-baa4-6696-2430-af28c1f093c7', 'fleet-84b5968f-128e-64be-ac10-87a02dc4aafd', 'fleet-06261d2f-c235-c914-261a-ac8ae3d7ea41']"
aws:ec2launchtemplate:version,yes,no,['1']
k8s.io/cluster-autoscaler/enabled,yes,no,['true']
aws:ec2launchtemplate:id,yes,no,['lt-0fb6549a9a14767f3']
k8s.io/cluster-autoscaler/addf-ad-labeling-dev-eks-cluster-eks-cluster,yes,no,['owned']
eks:eni:owner,yes,no,['eks-vpc-resource-controller']
VPC Type,yes,yes,"['aws-routed-vpc', 'on-prem-routed-vpc']"
VPC_Owner_Account,yes,yes,"['090630799430', '326605791258']"
lambda:createdBy,yes,yes,['SAM']
aws-control-tower,yes,yes,['managed-by-control-tower']
elbv2.k8s.aws/resource,yes,no,['backend-sg']
kubernetes.io/cluster/addf-ad-labeling-int-eks-cluster-eks-cluster,no,yes,['shared']
