Resource ARN,Resource Type,Deployment,Module,Name,Type,VPC Type,VPC_Owner_Account,aws-cdk:subnet-name,aws-cdk:subnet-type,aws-control-tower,aws:cloudformation:logical-id,aws:cloudformation:stack-id,aws:cloudformation:stack-name,aws:eks:cluster-name,codeseeder-seedkit,codeseeder-seedkit-name,createdBy,customer_function,kubernetes.io/cluster/addf-ad-labeling-int-eks-cluster-eks-cluster,kubernetes.io/cluster/addf-ad-labeling-mw-eks-cluster-eks-cluster,kubernetes.io/role/internal-elb,lambda:createdBy,orionadp:createdBy,orionadp:gitOrganisation,orionadp:gitRepositoryName,orionadp_platform_managed
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-05365dd865cdd5135,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets2,routable,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet2Subnet0CD1B5A9,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,shared,shared,1,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0c7ea4a1ecc24dde1,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets1,routable,N/A,N/A,orionadp-network-vpc-onpremrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpconpremrouted1orionadpnetworkvpconpremrouted1routablesubnetsSubnet1SubnetEEC2D62B,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,shared,shared,1,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:subnet/subnet-0b660d8987787cb51,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets3,routable,N/A,N/A,orionadp-network-vpc-awsrouted1-routable-subnets,Isolated,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1routablesubnetsSubnet3SubnetE2426745,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:transit-gateway-attachment/tgw-attach-06883574e988e79cc,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-tgw-association,N/A,on-prem-routed-vpc,326605791258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:vpc/vpc-0459ed008a9c5de42,ec2,N/A,N/A,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted14707F018,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:ec2:eu-central-1:326605791258:vpc-flow-log/fl-026a3d94580da63f8,ec2,N/A,N/A,orionadp-network-vpc-onpremrouted1-flow-logs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEcrManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/aws-controltower-ConfigComplianceChangeEventRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEc2ManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:events:eu-central-1:326605791258:rule/AWSControlTowerManagedRule,events,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:kms:eu-central-1:326605791258:key/19fc7e6a-1f0e-4132-aaaf-eeeeb0119666,kms,addf-ad-labeling-int,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-security-SecurityHubConfigurationLambda,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SecurityHubConfigurationLambda,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-securityhub-sync-admin/af495b40-831b-11ee-bc0d-024d1116423f,adf-security-securityhub-sync-admin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAM,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:network-awsrouted-vpc-ResRuleAssoc-ResolverRuleAssociation,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,networkawsroutedvpcResRuleAssocnetworkawsroutedvpcResRuleAssoclambdaC66B5FD7,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:monitoring-logs-spoke-logdiscoverymonitoringlogspo-C4941LBWdFOH,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,logdiscoverymonitoringlogspokeprodeucentral1loggroupsubscriberlambdaDA5346D2,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-logs-spoke/6be9e3b0-831b-11ee-9242-025a74c864a3,monitoring-logs-spoke,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-awsr-orionadpnetworkvpcawsrou-423xj22lnQAQ,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1associationorionadpnetworkvpcawsrouted1associationproviderframeworkonEvent5DDCBA6C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-onpr-AWS679f53fac002430cb0da5-Dgw08qxpWdDb,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AWS679f53fac002430cb0da5b7982bd22872D164C4C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:ResolverRuleAssociation-CR-ResolverRuleAssociation,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ResolverRuleAssociationCRResolverRuleAssociationCRlambda87F556E8,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:logs:eu-central-1:326605791258:log-group:orionadp-network-vpc-awsrouted1-orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1flowlogsloggroupF5955CA1-FSwl7Vhct76p,logs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1orionadpnetworkvpcawsrouted1flowlogsloggroupF5955CA1,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:s3:::ad-labeling-bucket-int-ebe9dc7d,s3,ad-labeling-int,s3-ad-labeling-bucket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,addfadlabelingints3adlabelingbucketbucketE6FE0871,arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-ad-labeling-int-s3-ad-labeling-bucket/38785e10-bd06-11ee-86e9-0612960eeffd,addf-ad-labeling-int-s3-ad-labeling-bucket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:s3:::codeseeder-addf-326605791258-fqwwrc,s3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bucket,arn:aws:cloudformation:eu-central-1:326605791258:stack/aws-codeseeder-addf/bb91da30-b787-11ee-9ee3-0a490793435f,aws-codeseeder-addf,N/A,codeseeder-addf,codeseeder-addf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:document/adf-security-central-ec2-patching-realm-stack-ResolveInspectorFindingsRunbook-GyOHiZkr4o2h,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ResolveInspectorFindingsRunbook,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-central-ec2-patching-realm-stack/6d9fd4d0-1128-11ef-a317-0a0589d40351,adf-security-central-ec2-patching-realm-stack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/blueprint/vpc/network-awsrouted-vpc/vpc-id,ssm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpcawsrouted1vpcid,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-awsrouted1/73576600-831a-11ee-9e6a-02349380763f,orionadp-network-vpc-awsrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
