Resource ARN,Resource Type,Deployment,Module,Name,Type,VPC Type,VPC_Owner_Account,aws-cdk:subnet-name,aws-cdk:subnet-type,aws-control-tower,aws:cloudformation:logical-id,aws:cloudformation:stack-id,aws:cloudformation:stack-name,aws:eks:cluster-name,codeseeder-seedkit,codeseeder-seedkit-name,createdBy,customer_function,kubernetes.io/cluster/addf-ad-labeling-int-eks-cluster-eks-cluster,kubernetes.io/cluster/addf-ad-labeling-mw-eks-cluster-eks-cluster,kubernetes.io/role/internal-elb,lambda:createdBy,orionadp:createdBy,orionadp:gitOrganisation,orionadp:gitRepositoryName,orionadp_platform_managed
arn:aws:kms:eu-central-1:326605791258:key/2ce3da5d-e245-4b88-a13e-60d481ff9e16,kms,addf-ad-labeling-mw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:kms:eu-central-1:326605791258:key/2d2918db-704a-4bbe-90d3-61357741ccfa,kms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-data-events,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-onpr-orionadpnetworkvpconprem-vmquKWjf0CAS,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1associationorionadpnetworkvpconpremrouted1associationproviderframeworkonEventB52CF6D1,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-security-central-ec2--OrgPoliciesCRProviderfra-gWI5yu6QgM89,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OrgPoliciesCRProviderframeworkonEvent537E0BDE,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-security-central-ec2-patching-realm-stack/6d9fd4d0-1128-11ef-a317-0a0589d40351,adf-security-central-ec2-patching-realm-stack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:monitoring-logs-spoke-AWS679f53fac002430cb0da5b798-IfKq2raZYLEd,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AWS679f53fac002430cb0da5b7982bd22872D164C4C,arn:aws:cloudformation:eu-central-1:326605791258:stack/monitoring-logs-spoke/6be9e3b0-831b-11ee-9242-025a74c864a3,monitoring-logs-spoke,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-onpr-networkonpremvpcResRuleA-zFer88UMIxup,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,networkonpremvpcResRuleAssocnetworkonpremvpcResRuleAssocproviderframeworkonEventD8E7ABED,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-data-events-on-boardi-adfs3dataeventsonboardin-t6pEkFq32ez6,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,adfs3dataeventsonboarding2D078062,arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-data-events-on-boarding/8cd67820-831d-11ee-ac80-0a1fc76ab593,adf-data-events-on-boarding,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,adf,OrionAdpPlatform,security-data-events,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-vpc-onpremrouted1-association,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orionadpnetworkvpconpremrouted1association63FB880C,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-vpc-onpremrouted1/f2476e60-831a-11ee-a7ed-064d8316ca13,orionadp-network-vpc-onpremrouted1,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-network-shared-b-ResolverRuleAssociationC-U3lmNKJiZu0w,lambda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ResolverRuleAssociationCRproviderframeworkonEvent6B1FEEBA,arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-network-shared-base-vpc-resources/2a6c6800-831a-11ee-bbbb-069fb4220557,orionadp-network-shared-base-vpc-resources,N/A,N/A,N/A,N/A,platform,N/A,N/A,N/A,N/A,account-creation-actions,OrionAdpPlatform,account-creation-actions,N/A
arn:aws:logs:eu-central-1:326605791258:log-group:/aws/lambda/aws-controltower-NotificationForwarder,logs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ForwardSnsNotificationGroup,arn:aws:cloudformation:eu-central-1:326605791258:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc/74944fa0-8316-11ee-8bd3-020da3fb637f,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-6c202e28-8445-4b29-a19c-639569c723cc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
